source,target
<ATTRS> ไม่ค่อย <CONT_START> ชาชีสลามมาเอ็มเคแล้วหรอเอาจริงนะคือมัน <START>,<ATTRS> ไม่ค่อย <CONT_START> ชาชีสลามมาเอ็มเคแล้วหรอเอาจริงนะคือมัน <START> ชาชีสลามมาเอ็มเคแล้วหรอเอาจริงนะคือมันไม่ค่อย
<ATTRS> ไม่กิน <CONT_START> โชคดีกุรอดตัวไปเพราะว่ากุเบียร์ช้างใน555666 <START>,<ATTRS> ไม่กิน <CONT_START> โชคดีกุรอดตัวไปเพราะว่ากุเบียร์ช้างใน555666 <START> โชคดีกุรอดตัวไปเพราะว่ากุไม่กินเบียร์ช้างใน555666
<ATTRS> ว่าจะไม่ ไปกิน <CONT_START> ใช่ๆๆหามุแผ่นบางจริงๆๆด้วยที่แล้ว <START>,<ATTRS> ว่าจะไม่ ไปกิน <CONT_START> ใช่ๆๆหามุแผ่นบางจริงๆๆด้วยที่แล้ว <START> ใช่ๆๆหามุแผ่นบางจริงๆๆด้วยว่าจะไม่ไปกินที่แล้ว
<ATTRS> ไม่ชอบไม่ค่อย <CONT_START> ดีนะแดกบาบีก้อนเพราะกูว่านาง=_= <START>,<ATTRS> ไม่ชอบไม่ค่อย <CONT_START> ดีนะแดกบาบีก้อนเพราะกูว่านาง=_= <START> ดีนะไม่ชอบแดกบาบีก้อนเพราะกูว่านางไม่ค่อย=_=
<ATTRS> ยังไม่ แดกปวดหัว <CONT_START> เดี๋ยวเจอ285ขนาดกูก็รู้สึกละ55 <START>,<ATTRS> ยังไม่ แดกปวดหัว <CONT_START> เดี๋ยวเจอ285ขนาดกูก็รู้สึกละ55 <START> เดี๋ยวเจอ285ขนาดยังไม่แดกกูก็รู้สึกปวดหัวละ55
<ATTRS>  <CONT_START> แดกfullmoonแล้วนอนตาไม่หลับเลยลุกมาแต่งจอยา5 <START>,<ATTRS>  <CONT_START> แดกfullmoonแล้วนอนตาไม่หลับเลยลุกมาแต่งจอยา5 <START> แดกfullmoonแล้วนอนตาไม่หลับเลยลุกมาแต่งจอยา5
<ATTRS> เบื่อ <CONT_START> ถ้าไม่ซื้อผ้าอนามัยก็ตังค์เหลืออะ5เมนส์ <START>,<ATTRS> เบื่อ <CONT_START> ถ้าไม่ซื้อผ้าอนามัยก็ตังค์เหลืออะ5เมนส์ <START> ถ้าไม่ซื้อผ้าอนามัยก็ตังค์เหลืออะ5เบื่อเมนส์
<ATTRS>  <CONT_START> ถ้าลีโอร้อยกว่าบาทก็แดกน้ำองุ่นทิปโก้เอาแหละบ้า <START>,<ATTRS>  <CONT_START> ถ้าลีโอร้อยกว่าบาทก็แดกน้ำองุ่นทิปโก้เอาแหละบ้า <START> ถ้าลีโอร้อยกว่าบาทก็แดกน้ำองุ่นทิปโก้เอาแหละบ้า
<ATTRS> พัง <CONT_START> ทำไมเล่นe-cigรอบนี้เหมือนปอดจะไอไม่หยุดเลย <START>,<ATTRS> พัง <CONT_START> ทำไมเล่นe-cigรอบนี้เหมือนปอดจะไอไม่หยุดเลย <START> ทำไมเล่นe-cigรอบนี้เหมือนปอดจะพังไอไม่หยุดเลย
<ATTRS> ที่จอดรถ มี น้อย <CONT_START> มากๆๆมีแค่5ที่ได้ต้องจอดข้างถนน <START>,<ATTRS> ที่จอดรถ มี น้อย <CONT_START> มากๆๆมีแค่5ที่ได้ต้องจอดข้างถนน <START> ที่จอดรถมีน้อยมากๆๆมีแค่5ที่ได้ต้องจอดข้างถนน
<ATTRS> ควาย <CONT_START> น่าอ่ะครับเดี่ยวนี่เยอะแก่ด้วย <START>,<ATTRS> ควาย <CONT_START> น่าอ่ะครับเดี่ยวนี่เยอะแก่ด้วย <START> น่าควายอ่ะครับเดี่ยวนี่ควายเยอะควายแก่ด้วย
<ATTRS> คงไม่ เบียร์ ลาวพอ <CONT_START> นี้ก้มระเจ้แต่ให้กินลีโอยังจะทน <START>,<ATTRS> คงไม่ เบียร์ ลาวพอ <CONT_START> นี้ก้มระเจ้แต่ให้กินลีโอยังจะทน <START> นี้ก้มระเจ้แต่ให้กินลีโอคงไม่เบียร์ลาวยังจะพอทน
<ATTRS> ▁นี่มัน มิใช่ ตํารวจตะก ว ด <CONT_START> นี่มันมิใช่ตำรวจคับแต่วาสนาดีเท่านั้นเอง <START>,<ATTRS> ▁นี่มัน มิใช่ ตํารวจตะก ว ด <CONT_START> นี่มันมิใช่ตำรวจคับแต่วาสนาดีเท่านั้นเอง <START> นี่มันมิใช่ตำรวจคับแต่ตะกวดวาสนาดีเท่านั้นเอง
<ATTRS> แพ้ <CONT_START> เบียร์เป็นลังไม่เคยเมามุงจะมาแค่สปายา3ขวดเหรอ <START>,<ATTRS> แพ้ <CONT_START> เบียร์เป็นลังไม่เคยเมามุงจะมาแค่สปายา3ขวดเหรอ <START> เบียร์เป็นลังไม่เคยเมามุงจะมาแพ้แค่สปายา3ขวดเหรอ
<ATTRS> เบื่อ <CONT_START> ไปกินมาอาทิตย์ล่ะ2วันยังเริ่มๆๆเลยอ่ะ🤣 <START>,<ATTRS> เบื่อ <CONT_START> ไปกินมาอาทิตย์ล่ะ2วันยังเริ่มๆๆเลยอ่ะ🤣 <START> ไปกินมาอาทิตย์ล่ะ2วันยังเริ่มเบื่อๆๆเลยอ่ะ🤣
<ATTRS> เหี้ยๆอีสัส <CONT_START> ผ้าอนามัยเมกาหนาๆกาวก็เบาบางเหลือเกิน <START>,<ATTRS> เหี้ยๆอีสัส <CONT_START> ผ้าอนามัยเมกาหนาๆกาวก็เบาบางเหลือเกิน <START> ผ้าอนามัยเมกาหนาเหี้ยๆๆกาวก็เบาบางเหลือเกินอีสัส
<ATTRS> เหี้ย <CONT_START> พูดจริงผู้เล่นอะเบียร์ช้างขวดเป็นร้อยเถอะ <START>,<ATTRS> เหี้ย <CONT_START> พูดจริงผู้เล่นอะเบียร์ช้างขวดเป็นร้อยเถอะ <START> พูดจริงผู้เล่นอะเบียร์ช้างขวดเป็นร้อยเหี้ยเถอะ
<ATTRS> เพลียฟ้อง จะได้ไม่ <CONT_START> ดีละที่ใกล้เคยสนใจมาสด้า3 <START>,<ATTRS> เพลียฟ้อง จะได้ไม่ <CONT_START> ดีละที่ใกล้เคยสนใจมาสด้า3 <START> เพลียดีละที่ฟ้องจะได้ไม่ใกล้เคยสนใจมาสด้า3
<ATTRS>  <CONT_START> ฟอจูนเนอรถนี่ตัวดีไฟมึงสว่างอย่างไฟนีออนเลยนะ😭 <START>,<ATTRS>  <CONT_START> ฟอจูนเนอรถนี่ตัวดีไฟมึงสว่างอย่างไฟนีออนเลยนะ😭 <START> ฟอจูนเนอรถนี่ตัวดีไฟมึงสว่างอย่างไฟนีออนเลยนะ😭
<ATTRS> ▁มันไม่ <CONT_START> ลูกกลิ้งนะคับตอนเทระวังด้วย555โดนมาแล้ว <START>,<ATTRS> ▁มันไม่ <CONT_START> ลูกกลิ้งนะคับตอนเทระวังด้วย555โดนมาแล้ว <START> มันไม่ลูกกลิ้งนะคับตอนเทระวังด้วย555โดนมาแล้ว
<ATTRS> เอ็ม เค เส้า <CONT_START> มากินยาโยอิเดียวเพราะพ่อกับแม่ไปกิน <START>,<ATTRS> เอ็ม เค เส้า <CONT_START> มากินยาโยอิเดียวเพราะพ่อกับแม่ไปกิน <START> มากินยาโยอิเดียวเพราะพ่อกับแม่ไปกินเอ็มเคเส้า
<ATTRS>  <CONT_START> เมกะบางตาไม่ร่วมนะจ้ะต้องไปสำโรงไม่ก้อเซ็นทรัล <START>,<ATTRS>  <CONT_START> เมกะบางตาไม่ร่วมนะจ้ะต้องไปสำโรงไม่ก้อเซ็นทรัล <START> เมกะบางตาไม่ร่วมนะจ้ะต้องไปสำโรงไม่ก้อเซ็นทรัล
<ATTRS> ไม่รับไอ้สัส <CONT_START> เมาไม่ขับในกลับแท็กซี่แท็กซี่ในกูขำ <START>,<ATTRS> ไม่รับไอ้สัส <CONT_START> เมาไม่ขับในกลับแท็กซี่แท็กซี่ในกูขำ <START> เมาไม่ขับในกลับแท็กซี่แท็กซี่ไม่รับในไอ้สัสกูขำ
<ATTRS> วัน ไปทาน ไม้ เป็น <CONT_START> เชื่อได้เลยคะสิทธิตามทีบอกเลยคะ <START>,<ATTRS> วัน ไปทาน ไม้ เป็น <CONT_START> เชื่อได้เลยคะสิทธิตามทีบอกเลยคะ <START> เชื่อวันไปทานไม้เป็นได้เลยคะสิทธิตามทีบอกเลยคะ
<ATTRS> อ้วกเลี่ยนอีดอก <CONT_START> ไม่ช่วยแดกเลยเล่นกูเลยลีโอละ <START>,<ATTRS> อ้วกเลี่ยนอีดอก <CONT_START> ไม่ช่วยแดกเลยเล่นกูเลยลีโอละ <START> ไม่ช่วยแดกเลยเล่นกูอ้วกเลยเลี่ยนลีโอละอีดอก
<ATTRS> ▁ไม่ ลูกค้าไม่กิน <CONT_START> เลยอ่ะแม่ลงคนจังหวัดนี้พี่ก้อน <START>,<ATTRS> ▁ไม่ ลูกค้าไม่กิน <CONT_START> เลยอ่ะแม่ลงคนจังหวัดนี้พี่ก้อน <START> ไม่ลูกค้าเลยอ่ะแม่ลงคนจังหวัดนี้ไม่กินพี่ก้อน
<ATTRS> รําคาญ <CONT_START> รำคาญผ้าอนามัยเมื่อไหร่กาวจะแน่นเหมือนกาวดักหนู <START>,<ATTRS> รําคาญ <CONT_START> รำคาญผ้าอนามัยเมื่อไหร่กาวจะแน่นเหมือนกาวดักหนู <START> รำคาญผ้าอนามัยเมื่อไหร่กาวจะแน่นเหมือนกาวดักหนู
<ATTRS> เสือก <CONT_START> ลงไปยุในโรงครั่นตัวละแต่ยังมากับโลกอีก5 <START>,<ATTRS> เสือก <CONT_START> ลงไปยุในโรงครั่นตัวละแต่ยังมากับโลกอีก5 <START> ลงไปยุในโรงครั่นตัวละแต่ยังมาเสือกกับโลกอีก5
<ATTRS>  <CONT_START> ว้าวอยากชิมจังเลยแต่สาขาโลตัสท่ายางปิดไปแล้ว😂 <START>,<ATTRS>  <CONT_START> ว้าวอยากชิมจังเลยแต่สาขาโลตัสท่ายางปิดไปแล้ว😂 <START> ว้าวอยากชิมจังเลยแต่สาขาโลตัสท่ายางปิดไปแล้ว😂
<ATTRS> ผ้าอนามัย แบบ สอด จริงจัง <CONT_START> ศึกษาการใส่มากอิสระกลัววว <START>,<ATTRS> ผ้าอนามัย แบบ สอด จริงจัง <CONT_START> ศึกษาการใส่มากอิสระกลัววว <START> ศึกษาการใส่ผ้าอนามัยแบบสอดจริงจังมากอิสระกลัววว
<ATTRS> อ้วก <CONT_START> แสงสีออกไปจากร่างแล้วกูน.จ้าจ้า <START>,<ATTRS> อ้วก <CONT_START> แสงสีออกไปจากร่างแล้วกูน.จ้าจ้า <START> แสงสีออกไปจากร่างแล้วกูอ้วกน.จ้าจ้า
<ATTRS>  <CONT_START> หมูสไลด์เอมเคมึงบางกว่าหมูสไลด์สองชั้นอีกอะในในใน <START>,<ATTRS>  <CONT_START> หมูสไลด์เอมเคมึงบางกว่าหมูสไลด์สองชั้นอีกอะในในใน <START> หมูสไลด์เอมเคมึงบางกว่าหมูสไลด์สองชั้นอีกอะในในใน
<ATTRS> ไข่ พยาธิ <CONT_START> เห็นข่าวบาบีก้อนที่ขนลุกทุกทีเลยฮือพ.ศ. <START>,<ATTRS> ไข่ พยาธิ <CONT_START> เห็นข่าวบาบีก้อนที่ขนลุกทุกทีเลยฮือพ.ศ. <START> เห็นข่าวไข่พยาธิบาบีก้อนที่ขนลุกทุกทีเลยฮือพ.ศ.
<ATTRS> จะอ้วกของ ด ปิ้งย่าง <CONT_START> เห็นข่าวบาบีก้อนแล้วในไปอีกนาน <START>,<ATTRS> จะอ้วกของ ด ปิ้งย่าง <CONT_START> เห็นข่าวบาบีก้อนแล้วในไปอีกนาน <START> เห็นข่าวบาบีก้อนแล้วจะอ้วกในของดปิ้งย่างไปอีกนาน
<ATTRS> ลําบากดี ซี เนี่ย ยอมแพ้ <CONT_START> อยากไปแต่เดินทางลำบากชหาเลยโชว์ <START>,<ATTRS> ลําบากดี ซี เนี่ย ยอมแพ้ <CONT_START> อยากไปแต่เดินทางลำบากชหาเลยโชว์ <START> อยากไปแต่เดินทางลำบากชหาเลยโชว์ดีซีเนี่ยยอมแพ้
<ATTRS> ▁อย่าไม่ กิง เบียร์โน <CONT_START> ทำร้ายพี่แบบเน้พี่ยูวาในในใน <START>,<ATTRS> ▁อย่าไม่ กิง เบียร์โน <CONT_START> ทำร้ายพี่แบบเน้พี่ยูวาในในใน <START> อย่าทำร้ายพี่แบบเน้พี่ไม่กิงเบียร์ยูโนวาในในใน
<ATTRS> ไม่น่า อ่าน <CONT_START> เออควรเชื่อน้องพายตั้งแต่แรกอ่ะเลยกู <START>,<ATTRS> ไม่น่า อ่าน <CONT_START> เออควรเชื่อน้องพายตั้งแต่แรกอ่ะเลยกู <START> เออควรเชื่อน้องพายตั้งแต่แรกอ่ะไม่น่าอ่านเลยกู
<ATTRS> ผ้าอนามัย แบบ สอด อ่ะนะ <CONT_START> 张丽霞อ้อออกุกลัวมาก5 <START>,<ATTRS> ผ้าอนามัย แบบ สอด อ่ะนะ <CONT_START> 张丽霞อ้อออกุกลัวมาก5 <START> 张丽霞อ้อออผ้าอนามัยแบบสอดอ่ะนะกุกลัวมาก5
<ATTRS> กฎหมาย ไทยไม่ มาตรฐานหัว ดอ <CONT_START> อาศัยซักอย่าง <START>,<ATTRS> กฎหมาย ไทยไม่ มาตรฐานหัว ดอ <CONT_START> อาศัยซักอย่าง <START> กฎหมายไทยไม่มาตรฐานอาศัยซักอย่างกฎหมายไทยหัวดอ
<ATTRS> คือแบบจะไม่ <CONT_START> กินไปน้องรับรองสุดแดกที่แล้วแสงสี <START>,<ATTRS> คือแบบจะไม่ <CONT_START> กินไปน้องรับรองสุดแดกที่แล้วแสงสี <START> กินไปน้องรับรองคือแบบสุดจะไม่แดกที่แล้วแสงสี
<ATTRS> น้ําซุป เปรี้ยว ไปหน่อยบาง สาขา น้ําตาจืด <CONT_START> กินแล้วค่ะน้ำซุปเปรี้ยวไปหน่อยบางสาขาน้ำตาไปนะ <START>,<ATTRS> น้ําซุป เปรี้ยว ไปหน่อยบาง สาขา น้ําตาจืด <CONT_START> กินแล้วค่ะน้ำซุปเปรี้ยวไปหน่อยบางสาขาน้ำตาไปนะ <START> กินแล้วค่ะน้ำซุปเปรี้ยวไปหน่อยบางสาขาน้ำตาจืดไปนะ
<ATTRS> เกลียดปวดหัวจะอ้วก <CONT_START> ฟอร์จูนเนอร์นั่งที่ทุกทีใน🤮🤢 <START>,<ATTRS> เกลียดปวดหัวจะอ้วก <CONT_START> ฟอร์จูนเนอร์นั่งที่ทุกทีใน🤮🤢 <START> เกลียดฟอร์จูนเนอร์นั่งที่ปวดหัวจะอ้วกทุกทีใน🤮🤢
<ATTRS> ควยเสือก <CONT_START> มะต้องอะมันไช่ธุรมึงปะเนียบนรีมันเหม็น <START>,<ATTRS> ควยเสือก <CONT_START> มะต้องอะมันไช่ธุรมึงปะเนียบนรีมันเหม็น <START> ควยมะต้องเสือกอะมันไช่ธุรมึงปะเนียบนรีมันเหม็น
<ATTRS> ไม่ รสชาติ <CONT_START> ใช่ๆๆไม่ซ่าส์จิงกินแล้วของแป๊บซี่เลย <START>,<ATTRS> ไม่ รสชาติ <CONT_START> ใช่ๆๆไม่ซ่าส์จิงกินแล้วของแป๊บซี่เลย <START> ใช่ๆๆไม่ซ่าส์จิงกินแล้วไม่รสชาติของแป๊บซี่เลย
<ATTRS>  <CONT_START> ตอนนี้คิดว่ากลิ่นแสงสีเป็นกลิ่นอีกไปละคงที่จมูก <START>,<ATTRS>  <CONT_START> ตอนนี้คิดว่ากลิ่นแสงสีเป็นกลิ่นอีกไปละคงที่จมูก <START> ตอนนี้คิดว่ากลิ่นแสงสีเป็นกลิ่นอีกไปละคงที่จมูก
<ATTRS>  <CONT_START> แต่ของetudeแบบติดตัวอย่างมากแค่1ใน2ชม.เองอะเหรอมี <START>,<ATTRS>  <CONT_START> แต่ของetudeแบบติดตัวอย่างมากแค่1ใน2ชม.เองอะเหรอมี <START> แต่ของetudeแบบติดตัวอย่างมากแค่1ใน2ชม.เองอะเหรอมี
<ATTRS> ขี้ หน้า <CONT_START> ถ้าใครเอาเบลนมอร์มาให้แดกอีกนะจะด่าเลยสึ <START>,<ATTRS> ขี้ หน้า <CONT_START> ถ้าใครเอาเบลนมอร์มาให้แดกอีกนะจะด่าเลยสึ <START> ถ้าใครเอาเบลนมอร์มาให้แดกอีกนะจะขี้หน้าด่าเลยสึ
<ATTRS> ▁ทุกอย่าง ยกเว้น or ientเกลียด <CONT_START> alprincessอ่ะกลิ่น <START>,<ATTRS> ▁ทุกอย่าง ยกเว้น or ientเกลียด <CONT_START> alprincessอ่ะกลิ่น <START> ทุกอย่างยกเว้นorientalprincessอ่ะเกลียดกลิ่น
<ATTRS> รํา▁เบื่อ <CONT_START> คนที่ลากเรื่องไมค์ซาร่าเข้าหาไม่เกี่ยวมะรำ <START>,<ATTRS> รํา▁เบื่อ <CONT_START> คนที่ลากเรื่องไมค์ซาร่าเข้าหาไม่เกี่ยวมะรำ <START> เบื่อคนที่ลากเรื่องไมค์ซาร่าเข้าหาไม่เกี่ยวมะรำ
<ATTRS> ไอ่ ตระกูล นี้เลิก <CONT_START> ปกติกูก็ดื่มนะสิงห์แต่มาโฆษนากู <START>,<ATTRS> ไอ่ ตระกูล นี้เลิก <CONT_START> ปกติกูก็ดื่มนะสิงห์แต่มาโฆษนากู <START> ปกติกูก็ดื่มนะสิงห์แต่ไอ่ตระกูลนี้มาโฆษนากูเลิก
<ATTRS> น้อยมากไม่ เติม ของ <CONT_START> ไปกินมาสาขาเดอะฮอล์โคราชของเลย <START>,<ATTRS> น้อยมากไม่ เติม ของ <CONT_START> ไปกินมาสาขาเดอะฮอล์โคราชของเลย <START> ไปกินมาสาขาเดอะฮอล์โคราชของน้อยมากไม่เติมของเลย
<ATTRS>  <CONT_START> ผ้าอนามัยที่ใช้อยู่ประจำทำไมอยู่ๆๆก็หายากขึ้นมาใน <START>,<ATTRS>  <CONT_START> ผ้าอนามัยที่ใช้อยู่ประจำทำไมอยู่ๆๆก็หายากขึ้นมาใน <START> ผ้าอนามัยที่ใช้อยู่ประจำทำไมอยู่ๆๆก็หายากขึ้นมาใน
<ATTRS> ผ้าอนามัย บาง ยี่ห้อ ไม่ <CONT_START> เก็บกลิ่นอะเช่นรุ่นจิ๋มเย็น <START>,<ATTRS> ผ้าอนามัย บาง ยี่ห้อ ไม่ <CONT_START> เก็บกลิ่นอะเช่นรุ่นจิ๋มเย็น <START> ผ้าอนามัยบางยี่ห้อไม่เก็บกลิ่นอะเช่นรุ่นจิ๋มเย็น
<ATTRS> ผื่น คัน <CONT_START> เผอิญเราใช้ของลอรีเอะนี่แหล่ะค่ะที่เกิด😑 <START>,<ATTRS> ผื่น คัน <CONT_START> เผอิญเราใช้ของลอรีเอะนี่แหล่ะค่ะที่เกิด😑 <START> เผอิญเราใช้ของลอรีเอะนี่แหล่ะค่ะที่เกิดผื่นคัน😑
<ATTRS> แคบ มาก <CONT_START> มาสด้าติดอยู่ข้อเดียวห้องผู้โดยสารข้างหลัง <START>,<ATTRS> แคบ มาก <CONT_START> มาสด้าติดอยู่ข้อเดียวห้องผู้โดยสารข้างหลัง <START> มาสด้าติดอยู่ข้อเดียวห้องผู้โดยสารข้างหลังแคบมาก
<ATTRS> ปัญหา <CONT_START> มาสด้าสองดีเซล.แจ่มครับแต่เห็นว่าหลายคัน <START>,<ATTRS> ปัญหา <CONT_START> มาสด้าสองดีเซล.แจ่มครับแต่เห็นว่าหลายคัน <START> มาสด้าสองดีเซล.แจ่มครับแต่เห็นว่าปัญหาหลายคัน
<ATTRS> ไฟฟ้า โทษเหี้ย <CONT_START> มึงเชื่อกุเยอะว่าบุหรี่หนักกว่าพกปืน <START>,<ATTRS> ไฟฟ้า โทษเหี้ย <CONT_START> มึงเชื่อกุเยอะว่าบุหรี่หนักกว่าพกปืน <START> มึงเชื่อกุเยอะว่าบุหรี่ไฟฟ้าโทษหนักกว่าเหี้ยพกปืน
<ATTRS>  <CONT_START> เมื่อไหร่ประเทศไทยจะนอกจากยะลาน้อยน่าน้อยใจเนาะ <START>,<ATTRS>  <CONT_START> เมื่อไหร่ประเทศไทยจะนอกจากยะลาน้อยน่าน้อยใจเนาะ <START> เมื่อไหร่ประเทศไทยจะนอกจากยะลาน้อยน่าน้อยใจเนาะ
<ATTRS>  <CONT_START> เมื่อไหร่สาขาซีคอนศรีนครินทร์จะเปิดเนี่ยนานมาก <START>,<ATTRS>  <CONT_START> เมื่อไหร่สาขาซีคอนศรีนครินทร์จะเปิดเนี่ยนานมาก <START> เมื่อไหร่สาขาซีคอนศรีนครินทร์จะเปิดเนี่ยนานมาก
<ATTRS> ปวดหัว <CONT_START> มิได้แดกเบลในมาเป็นปีลิมาแดกแบบโอ่โห่ทากๆๆ <START>,<ATTRS> ปวดหัว <CONT_START> มิได้แดกเบลในมาเป็นปีลิมาแดกแบบโอ่โห่ทากๆๆ <START> มิได้แดกเบลในมาเป็นปีลิมาแดกแบบโอ่โห่ปวดหัวทากๆๆ
<ATTRS> รําคาญ <CONT_START> รำคาญโฆษณากานิเย่กับไทยพาณิชในทวิตนขึ้นบ่อยเกิ้น <START>,<ATTRS> รําคาญ <CONT_START> รำคาญโฆษณากานิเย่กับไทยพาณิชในทวิตนขึ้นบ่อยเกิ้น <START> รำคาญโฆษณากานิเย่กับไทยพาณิชในทวิตนขึ้นบ่อยเกิ้น
<ATTRS> เลี่ยนจะอ้วก <CONT_START> รีล่าชาชีสเอ็มเคคือมากกินไปครึ่งแก้ว <START>,<ATTRS> เลี่ยนจะอ้วก <CONT_START> รีล่าชาชีสเอ็มเคคือมากกินไปครึ่งแก้ว <START> รีล่าชาชีสเอ็มเคคือเลี่ยนมากกินไปครึ่งแก้วจะอ้วก
"<ATTRS>  <CONT_START> กดราคาลูกรอกปรับสายพานมาสด้า2ด้วยนะตัวละ7,000 <START>","<ATTRS>  <CONT_START> กดราคาลูกรอกปรับสายพานมาสด้า2ด้วยนะตัวละ7,000 <START> กดราคาลูกรอกปรับสายพานมาสด้า2ด้วยนะตัวละ7,000"
<ATTRS> ใช้ แล้ว เลอะ <CONT_START> ลอรีเอะดีสุดโซในพ.ศ.ตลอดออกข้างตลอด <START>,<ATTRS> ใช้ แล้ว เลอะ <CONT_START> ลอรีเอะดีสุดโซในพ.ศ.ตลอดออกข้างตลอด <START> ลอรีเอะดีสุดโซในพ.ศ.ใช้แล้วเลอะตลอดออกข้างตลอด
<ATTRS>  <CONT_START> วันสายๆๆของคุมแม่พี่แท็กซี่ก็พาอ้อมให้สายไปอีก😒 <START>,<ATTRS>  <CONT_START> วันสายๆๆของคุมแม่พี่แท็กซี่ก็พาอ้อมให้สายไปอีก😒 <START> วันสายๆๆของคุมแม่พี่แท็กซี่ก็พาอ้อมให้สายไปอีก😒
<ATTRS> ปรับปรุงหมดไม่คุ้ม <CONT_START> สนับสนุนการเห็ดกินแค่สองคำราคา <START>,<ATTRS> ปรับปรุงหมดไม่คุ้ม <CONT_START> สนับสนุนการเห็ดกินแค่สองคำราคา <START> สนับสนุนการปรับปรุงเห็ดกินแค่สองคำหมดไม่คุ้มราคา
<ATTRS> แมลงสาบ <CONT_START> สาขาเดอะมอลล์โคราชนี่เดินทางที่นั่งเลยจ้า <START>,<ATTRS> แมลงสาบ <CONT_START> สาขาเดอะมอลล์โคราชนี่เดินทางที่นั่งเลยจ้า <START> สาขาเดอะมอลล์โคราชแมลงสาบนี่เดินทางที่นั่งเลยจ้า
<ATTRS> กิน ภาษีรก <CONT_START> สิงคโปร์น.ก็หาแดคล้ายเราละแต่เนี้ยบฟ่า <START>,<ATTRS> กิน ภาษีรก <CONT_START> สิงคโปร์น.ก็หาแดคล้ายเราละแต่เนี้ยบฟ่า <START> สิงคโปร์น.ก็กินภาษีหาแดรกคล้ายเราละแต่เนี้ยบฟ่า
<ATTRS> เฉยๆ ๆ ค่า ชุดหมดสัส <CONT_START> ให้ดูไทยค่านั่งรถมาแดกก็ตังแดกและ <START>,<ATTRS> เฉยๆ ๆ ค่า ชุดหมดสัส <CONT_START> ให้ดูไทยค่านั่งรถมาแดกก็ตังแดกและ <START> ให้ดูเฉยๆๆค่าชุดไทยค่านั่งรถมาแดกก็หมดตังแดกและสัส
<ATTRS> แค่ บุหรี่ ไฟฟ้า <CONT_START> อยากรู้ว่าต้องจับเข้าข้องขัดด้วยหรอ <START>,<ATTRS> แค่ บุหรี่ ไฟฟ้า <CONT_START> อยากรู้ว่าต้องจับเข้าข้องขัดด้วยหรอ <START> อยากรู้ว่าแค่บุหรี่ไฟฟ้าต้องจับเข้าข้องขัดด้วยหรอ
<ATTRS> โดน ฟ้อง กรณีนี้น่าเกลียดเกินไป <CONT_START> อยากเห็นแสนสิริครับ <START>,<ATTRS> โดน ฟ้อง กรณีนี้น่าเกลียดเกินไป <CONT_START> อยากเห็นแสนสิริครับ <START> อยากเห็นแสนสิริโดนฟ้องกรณีนี้ครับน่าเกลียดเกินไป
<ATTRS> free ของฉัน หายหงุดหงิด <CONT_START> อายแชโด้innisและฉันโว้ยยย <START>,<ATTRS> free ของฉัน หายหงุดหงิด <CONT_START> อายแชโด้innisและฉันโว้ยยย <START> อายแชโด้innisfreeของฉันหายและฉันหงุดหงิดโว้ยยย
<ATTRS> ร้อย ล่ะมั้ง สึ ดดด <CONT_START> อีกสิบปีเบียร์ลีโอกูคงขวดล่ะ.!! <START>,<ATTRS> ร้อย ล่ะมั้ง สึ ดดด <CONT_START> อีกสิบปีเบียร์ลีโอกูคงขวดล่ะ.!! <START> อีกสิบปีเบียร์ลีโอกูคงขวดล่ะร้อยล่ะมั้งสึดดด.!!
<ATTRS> สัส <CONT_START> ฮือออแสงสว่างในแสงสีอีกกลมตุกลับบ้านอีก <START>,<ATTRS> สัส <CONT_START> ฮือออแสงสว่างในแสงสีอีกกลมตุกลับบ้านอีก <START> ฮือออแสงสว่างในแสงสีอีกกลมตุสัสกลับบ้านอีก
<ATTRS> แพง <CONT_START> 0ซูซูกิต้องพัฒนาด้านบริการอีกเยอะราคาอะไหล่ก็ <START>,<ATTRS> แพง <CONT_START> 0ซูซูกิต้องพัฒนาด้านบริการอีกเยอะราคาอะไหล่ก็ <START> 0ซูซูกิต้องพัฒนาด้านบริการอีกเยอะราคาอะไหล่ก็แพง
<ATTRS>  <CONT_START> showในรีบเอาทัวร์จีนมาลงจังห้างยังเปิดไม่หมดเลย <START>,<ATTRS>  <CONT_START> showในรีบเอาทัวร์จีนมาลงจังห้างยังเปิดไม่หมดเลย <START> showในรีบเอาทัวร์จีนมาลงจังห้างยังเปิดไม่หมดเลย
<ATTRS> เสียค่า <CONT_START> กว่าจะผลิตรถขายได้ฟอร์ดต้องโฆษณาอีกนานเลย <START>,<ATTRS> เสียค่า <CONT_START> กว่าจะผลิตรถขายได้ฟอร์ดต้องโฆษณาอีกนานเลย <START> กว่าจะผลิตรถขายได้ฟอร์ดต้องเสียค่าโฆษณาอีกนานเลย
<ATTRS> ดุลยพินิจ ของ เจ้าหน้า ที่ผู้ <CONT_START> ก้อจะบอกว่าแล้วแต่จับกุม <START>,<ATTRS> ดุลยพินิจ ของ เจ้าหน้า ที่ผู้ <CONT_START> ก้อจะบอกว่าแล้วแต่จับกุม <START> ก้อจะบอกว่าแล้วแต่ดุลยพินิจของเจ้าหน้าที่ผู้จับกุม
